date,high,open,close,low,amount,vol
20130918,46.4,40.5,42.24,39.88,1681303424,388897
20130923,46.46,41.9,46.2,40.67,1406017536,318516
20130924,46.15,45.49,44.61,44.4,901506368,200045
20130925,47.14,44.01,45.05,44.0,781787200,171651
20130926,45.07,44.65,43.0,42.45,640034816,146808
20130927,44.3,43.0,43.0,42.67,372250400,85614
20130930,43.8,42.99,43.24,42.88,331344576,76682
20131008,45.21,43.0,44.99,42.9,493442848,111129
20131009,45.54,44.65,44.68,44.0,370734080,83054
20131010,46.36,44.5,45.71,44.14,708889920,156256
20131011,46.05,46.0,45.53,45.25,363516960,79697
20131014,46.33,45.52,46.0,44.6,441424928,96467
20131015,46.0,46.0,45.15,44.85,419089536,92419
20131016,45.88,44.76,44.67,43.7,397199776,89183
20131017,45.1,44.68,44.61,44.22,247582784,55526
20131018,46.8,44.52,46.01,44.3,478846144,104209
20131021,48.1,46.2,47.85,45.68,638065984,135658
20131022,48.31,47.4,47.42,46.88,390719936,82147
20131023,48.43,47.47,46.09,45.9,407798432,87290
20131024,49.6,46.0,47.5,45.84,583397312,122184
20131025,48.85,47.43,47.7,47.11,490068576,102336
20131028,49.5,47.97,49.47,47.5,508354432,104467
20131029,49.68,49.1,48.93,48.01,469601280,96525
20131030,50.66,49.01,50.17,48.65,604865216,121285
20131031,50.8,50.68,48.4,47.93,491851072,100732
20131101,48.79,47.79,47.76,47.33,344516576,72057
20131104,48.5,47.6,47.99,47.6,238322432,49622
20131105,48.41,47.52,48.19,47.08,261530176,54750
20131106,48.23,47.98,46.75,46.21,284031680,60251
20131107,46.93,46.52,46.22,45.16,283865728,62056
20131108,46.2,45.8,45.66,45.33,153053744,33411
20131111,46.0,45.69,45.78,44.61,162564576,35809
20131112,47.02,45.88,46.35,45.5,301452128,64729
20131113,46.34,45.86,45.5,45.5,139594992,30484
20131114,46.32,45.55,46.0,44.67,246139984,54360
20131115,47.06,45.87,46.2,45.61,298879168,64215
20131118,47.08,46.35,46.89,46.1,232323744,49830
20131119,47.5,46.88,46.97,46.51,250109360,53161
20131120,47.48,47.48,46.68,46.41,195299680,41726
20131121,46.7,46.7,45.71,45.05,300714496,66029
20131122,46.85,45.85,46.58,45.66,205574944,44288
20131125,46.31,45.83,45.96,45.58,289730112,63202
20131126,47.2,45.91,47.19,45.7,367247552,78583
20131127,47.29,47.2,46.59,46.25,252670208,54173
20131128,47.97,46.6,47.67,46.6,343994304,72379
20131129,48.0,47.52,47.91,47.28,244627680,51259
20131202,47.19,47.02,46.13,46.03,304178432,65133
20131203,47.09,46.0,47.02,46.0,261874432,56068
20131204,48.4,47.0,47.94,46.8,274690880,57260
20131205,48.88,48.06,48.54,47.89,265569520,54737
20131206,48.63,48.59,48.4,47.73,185057344,38443
20131209,48.97,48.45,48.49,47.95,227857520,47076
20131210,50.47,48.8,49.68,48.8,538909440,108138
20131211,50.0,49.45,48.38,47.84,309155360,62952
20131212,49.49,48.2,49.31,47.68,221437136,45684
20131213,50.9,48.51,50.15,48.42,551962432,109874
20131216,51.5,50.14,49.91,49.8,485809120,95774
20131217,50.1,49.96,49.0,48.92,315460832,64058
20131218,50.5,48.98,50.49,48.5,318806464,64061
20131219,51.38,50.75,49.89,49.89,320375904,63464
20131220,52.0,49.6,51.78,49.41,1029695744,203682
20131223,51.7,51.2,50.35,50.01,357126336,70541
20131224,51.17,50.8,50.81,49.77,330453344,65759
20131225,51.12,51.0,50.4,50.14,215560128,42624
20131226,50.2,50.16,48.45,47.58,515988352,105909
20131227,50.3,48.0,49.78,47.82,366987488,74526
20131230,50.54,49.78,49.5,49.41,218806912,43800
20131231,50.1,49.41,50.0,48.26,294099104,59859
20140102,49.82,49.4,48.92,48.6,193220272,39462
20140103,48.8,48.4,48.07,47.11,362396320,75845
20140106,47.98,47.88,46.61,46.36,279878528,59925
20140107,47.18,46.2,46.46,46.2,160580656,34409
20140108,46.46,46.46,46.46,46.46,0,0
20140109,46.46,46.46,46.46,46.46,0,0
20140110,46.46,46.46,46.46,46.46,0,0
20140113,48.5,46.0,46.5,45.8,346958976,73946
20140114,48.06,46.5,48.01,46.33,237738080,50115
20140115,49.05,47.7,48.4,47.51,208692016,43067
20140116,49.04,48.39,48.32,47.81,205606080,42451
20140117,48.32,48.05,46.9,46.67,190432272,40190
20140120,47.84,46.89,47.51,46.51,180827664,38168
20140121,47.8,47.5,47.0,46.78,204014336,43355
20140122,47.97,47.05,47.76,46.85,205238256,43178
20140123,49.13,47.73,48.38,47.32,265863456,55000
20140124,49.26,48.38,48.61,47.8,245337712,50366
20140127,48.35,48.31,47.36,47.15,258565264,54222
20140128,48.28,47.83,47.91,47.3,177707760,37089
20140129,48.37,48.25,47.79,47.5,191411776,40069
20140130,47.9,47.88,46.86,46.51,256146016,54555
20140207,46.41,46.41,45.71,44.9,419470272,92332
20140210,47.0,45.69,46.55,45.4,327990400,70580
20140211,46.52,46.52,45.95,45.5,305636960,66580
20140212,47.19,46.0,46.75,45.66,296686592,63704
20140213,46.81,46.81,46.15,45.7,317109248,68569
20140214,46.53,45.89,46.29,45.81,182979760,39653
20140217,46.58,46.35,46.5,46.0,260881616,56502
20140218,46.39,46.39,45.99,45.66,189272112,41225
20140219,46.38,46.0,46.08,45.5,202089728,43870
20140220,46.17,46.06,44.91,44.7,383520512,84851
20140221,45.25,44.95,44.7,44.48,214409184,47925
20140224,44.6,44.5,41.92,40.3,569681728,136223
20140225,41.8,41.8,40.34,40.28,619138432,152013
20140226,40.19,40.09,39.26,39.0,450989056,114312
20140227,39.59,39.43,38.16,37.74,541012992,140958
20140228,38.95,38.2,38.94,37.78,308076480,79789
20140303,40.3,38.5,39.92,38.5,258418192,65239
20140304,39.59,39.59,38.88,38.45,226270208,58296
20140305,39.6,39.0,38.8,38.55,173812816,44450
20140306,41.01,38.8,40.65,38.61,468521568,116626
20140307,41.34,40.69,40.49,40.32,225197536,55135
20140310,41.9,40.0,40.64,39.75,423278112,102743
20140311,42.66,41.05,41.76,41.05,457655968,108795
20140312,42.45,42.25,42.07,41.36,268506560,64092
20140313,42.36,42.13,41.8,41.35,204431520,48878
20140314,42.28,41.77,41.8,41.01,177624032,42505
20140317,43.05,41.9,43.0,41.43,321709312,75809
20140318,43.8,43.69,42.11,42.07,306533792,71977
20140319,42.0,41.88,41.04,40.5,216781120,52737
20140320,41.65,41.04,39.79,39.55,299716608,74253
20140321,41.05,39.79,40.85,39.78,173385632,42796
20140324,41.36,40.57,41.16,40.33,171713632,41982
20140325,42.04,40.98,41.44,40.7,166315504,40067
20140326,42.5,41.41,42.28,41.41,174364928,41386
20140327,42.44,42.28,42.12,41.75,170231824,40380
20140328,43.5,42.21,42.85,42.21,337750208,78610
20140331,47.14,47.14,45.08,44.79,1495925760,323946
20140401,47.43,45.08,47.02,44.29,1127692928,242924
20140402,47.85,47.16,46.31,46.2,771714368,165363
20140403,47.47,46.5,46.1,45.36,804169472,173079
20140404,46.36,45.68,46.01,45.03,555344064,121390
20140408,47.01,45.9,46.75,45.42,718320768,154527
20140409,47.44,47.0,46.84,46.52,610865920,130119
20140410,47.05,47.02,46.59,46.02,638814208,137331
20140411,48.26,46.69,47.9,46.61,1011449984,212348
20140414,47.95,47.75,47.34,47.11,505394752,106481
20140415,47.46,47.46,45.9,45.8,595582848,128488
20140416,46.18,45.6,46.16,45.6,305679104,66535
20140417,46.86,46.21,46.34,46.2,287072384,61636
20140418,46.85,46.1,46.7,45.7,253230784,54637
20140421,46.65,46.2,46.0,45.89,313220640,67800
20140422,46.16,45.9,45.15,44.13,519669824,115518
20140423,46.9,45.81,46.1,45.72,495039648,106792
20140424,47.27,45.99,47.17,45.52,544749632,116680
20140425,47.57,47.39,47.01,46.75,436514880,92572
20140428,47.23,47.0,46.44,44.99,438749344,95543
20140429,47.89,46.7,46.99,45.89,889389056,188982
20140430,17.89,17.88,17.27,17.14,477911360,272666
20140505,17.69,17.23,17.55,16.81,373521696,217532
20140506,17.6,17.4,17.15,17.05,282295296,163111
20140507,17.06,17.05,16.7,16.68,331937440,196783
20140508,17.2,16.68,16.84,16.51,307329056,181813
20140509,17.19,16.8,17.13,16.67,267805024,157840
20140512,17.13,17.13,17.13,17.13,0,0
20140513,17.6,17.34,17.2,17.12,302106720,174185
20140514,17.41,17.15,17.28,17.04,194726032,113120
20140515,17.21,17.11,17.01,16.93,251184080,147271
20140516,17.15,16.95,17.1,16.91,131990808,77555
20140519,16.95,16.8,16.61,16.51,226902016,136319
20140520,16.98,16.75,16.59,16.42,169399520,101904
20140521,16.64,16.47,16.57,16.31,132486376,80266
20140522,16.98,16.58,16.76,16.54,220767312,131246
20140523,16.98,16.72,16.9,16.71,107501560,63678
20140526,17.21,16.99,17.0,16.82,188275440,110551
20140527,17.13,17.03,16.94,16.91,149169472,87700
20140528,17.41,16.94,17.33,16.8,313602048,182776
20140529,17.59,17.26,17.32,17.26,241014496,138250
20140530,17.55,17.33,17.42,17.32,190497328,109160
20140603,17.85,17.47,17.63,17.46,212061216,119902
20140604,17.69,17.66,17.32,17.2,161046976,92684
20140605,17.59,17.31,17.49,17.19,154040848,88469
20140606,17.68,17.48,17.5,17.39,136259808,77654
